s0_player_x,s0_player_y,s0_coin_0_x,s0_coin_0_y,s0_coin_1_x,s0_coin_1_y,action_change_x,action_change_y,s1_player_x,s1_player_y,s1_coin_0_x,s1_coin_0_y,s1_coin_1_x,s1_coin_1_y,game_over,reward
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0,50.0,50.0,424.0,487.0,214.0,567.0,0.0,0.0
